,bagni,locali,piano,prezzo(€),superficie
13092,3+,5+,1,€ 695.000,210
13093,3,5,,€ 345.000,185
13094,1,3,1,€ 415.000,106
13095,2,3,4,€ 695.000,92
13096,1,4,R,€ 270.000,130
13097,1,2,T,€ 279.000,65
13098,1,2,3,€ 300.000,70
13099,1,2,3,€ 175.000,47
13100,1,2,7,€ 275.000,75
13101,2,5,2,€ 1.420.000,160
13102,1,2,2,€ 168.000,64
13103,1,3,A,€ 490.000,75
13104,2,4,T,€ 339.000,150
13105,1,3,1,€ 298.000,70
13106,3+,5+,,€ 825.000,450
13107,2,4,T,€ 92.000,220
13108,,,,€ 892.500,250
13109,,,,€ 372.000,168
13110,2,3,1,€ 219.000,91
13111,1,2,T,€ 179.000,65
13112,1,5,,€ 157.500,157
13113,2,3,8,€ 339.000,120
13114,2,4,7,€ 395.000,160
13115,3+,5+,,€ 15.000.000,800
13116,1,2,2,€ 220.000,60
13117,3+,5+,,€ 1.990.000,1.000
13118,2,3,2,€ 375.000,98
13119,2,5,1,€ 489.000,145
13120,2,5,,€ 433.000,200
13121,,,,€ 166.800,122
13122,1,2,4,€ 270.000,61
13123,1,2,3,€ 289.000,60
13124,3,5+,,€ 360.000,204
13125,2,5,3,€ 640.000,150
13126,2,4,6,€ 389.000,120
13127,2,5,,€ 600.000,136
13128,1,2,A,€ 225.000,70
13129,1,3,1,€ 150.000,88
13130,3+,5,,€ 490.000,259
13131,3,3,,€ 380.000,150
13132,1,3,1,€ 320.000,75
13133,1,2,R,€ 149.000,50
13134,2,3,3,€ 255.000,100
13135,,,,€ 78.000,77
13136,1,3,1,€ 295.000,108
13137,1,2,4,€ 205.000,60
13138,2,4,A,€ 715.000,181
13139,3+,5+,A,€ 1.450.000,190
13140,1,3,3,€ 350.000,115
13141,2,5,2,€ 545.000,130
13142,3+,5+,4,€ 775.000,180
13143,1,2,4,€ 179.000,50
13144,1,2,T,€ 189.000,85
13145,,,,€ 517.500,315
13146,1,2,A,€ 180.000,69
13147,1,2,1,€ 420.000,50
13148,1,3,A,€ 210.000,90
13149,,,,€ 169.500,77
13150,1,3,4,€ 319.000,90
13151,2,5,2,€ 455.000,116
13152,1,3,5,€ 330.000,80
13153,1,3,2,€ 290.000,80
13154,3,5+,A,€ 1.690.000,219
13155,3,5+,,€ 495.000,222
13156,1,3,2,€ 175.000,90
13157,2,4,1,€ 149.000,111
13158,1,3,T,€ 329.000,80
13159,,,,€ 81.000,42
13160,1,3,1,€ 249.000,80
13161,1,5,4,€ 190.000,127
13162,1,4,3,€ 445.000,105
13163,2,4,3,€ 338.000,107
13164,2,3,,€ 172.500,75
13165,2,2,T,€ 215.000,65
13166,1,3,A,€ 170.000,55
13167,2,4,1,€ 279.000,100
13168,1,3,R,€ 279.000,90
13169,2,4,1,€ 920.000,180
13170,,,,€ 74.400,38
13171,1,3,1,€ 173.000,90
13172,,,,€ 1.600.000,228
13173,2,4,R,€ 395.000,135
13174,2,4,3,€ 390.000,140
13175,1,2,3,€ 197.000,65
13176,3+,5+,,€ 990.000,500
13177,2,5+,R,€ 445.000,150
13178,1,3,4,€ 250.000,91
13179,3,5+,A,€ 2.750.000,267
13180,,,,€ 303.264,260
13181,3,5+,1,€ 550.000,150
13182,2,4,T,€ 229.000,105
13183,1,3,R,€ 160.000,109
13184,2,3,A,€ 169.000,82
13185,2,5,T,€ 749.000,185
13186,2,5,,€ 440.000,220
13187,1,3,2,€ 159.000,80
13188,2,4,T,€ 595.000,125
13189,1,3,1,€ 198.000,75
13190,3,4,3,€ 1.290.000,210
13191,2,3,2,€ 225.000,85
13192,1,3,1,€ 309.000,105
13193,1,4,4,€ 328.000,100
13194,,,,€ 64.800,76
13195,1,1,T,€ 99.000,37
13196,1,2,1,€ 329.000,65
13197,1,3,2,€ 209.000,99
13198,1,2,,€ 78.500,92
13199,1,2,5,€ 78.500,63
13200,2,4,3,€ 179.000,150
13201,2,4,3,€ 244.000,125
13202,3+,5+,,€ 830.000,500
13203,,,,€ 150.000,75
13204,,,,€ 98.812,88
13205,1,4,1,€ 175.000,90
13206,2,3,6,€ 489.000,110
13207,3+,5+,,€ 1.370.000,700
13208,1,4,,€ 340.000,50
13209,2,3,A,€ 630.000,130
13210,,,,€ 456.000,172
13211,2,4,6,€ 259.000,120
13212,1,2,,€ 198.000,50
13213,3,4,,€ 285.000,135
13214,1,2,3,€ 168.000,50
13215,1,2,T,€ 199.000,60
13216,2,3,1,€ 109.000,75
13217,1,3,T,€ 95.000,70
13218,1,2,T,€ 143.000,50
13219,,1-5,,€ 186.000,45
13220,1,3,1,€ 179.000,93
13221,1,2,1,€ 169.000,60
13222,1,3,T,€ 299.000,80
13223,2,2,A,€ 260.000,67
13224,1,1,T,€ 105.000,28
13225,1,2,2,€ 149.000,48
13226,1,3,2,€ 149.000,65
13227,1,3,4,€ 375.000,80
13228,3,5+,3,€ 1.400.000,235
13229,1,3,1,€ 280.000,74
13230,1,1,2,€ 109.000,35
13231,1,3,R,€ 149.000,83
13232,2,4,5,€ 640.000,152
13233,1,2,T,€ 80.000,30
13234,1,4,2,€ 249.000,115
13235,,3,3,€ 306.000,112
13236,3,3,,€ 347.000,100
13237,2,4,1,€ 229.000,86
13238,1,2,2,€ 149.000,50
13239,2,3,A,€ 498.000,90
13240,1,4,3,€ 310.000,108
13241,3,5+,,€ 950.000,170
13242,1,2,1,€ 289.000,65
13243,1,3,1,€ 186.000,63
13244,1,2,4,€ 145.000,72
13245,2,3,1,€ 260.000,75
13246,3,5+,,€ 440.000,220
13247,2,3,2,€ 320.000,99
13248,,,,€ 433.200,180
13249,2,4,2,€ 200.000,80
13250,,,,€ 307.200,280
13251,2,5+,,€ 375.000,180
13252,2,4,4,€ 590.000,125
13253,3+,5+,,€ 3.300.000,700
13254,1,2,6,€ 230.000,65
13255,1,3,3,€ 379.000,90
13256,2,4,,€ 225.000,95
13257,1,2,,€ 350.000,62
13258,2,4,,€ 230.000,120
13259,3+,5+,,€ 1.230.000,630
13260,2,5,2,€ 900.000,178
13261,1,4,2,€ 179.000,115
13262,1,3,1,€ 210.000,105
13263,1,2,1,€ 149.000,47
13264,3,5,,€ 183.500,252
13265,2,5,3,€ 339.000,145
13266,1,3,3,€ 259.000,93
13267,3+,5+,T,€ 160.000,80
13268,2,4,2,€ 239.000,120
13269,1,3,1,€ 205.000,102
13270,1,3,2,€ 238.000,112
13271,,,,€ 427.500,100
13272,1,3,6,€ 205.000,80
13273,1,2,R,€ 131.000,50
13274,2,3,2,€ 269.000,90
13275,1,5+,S,€ 85.000,190
13276,,,,€ 15.000,12
13277,3,5+,,€ 419.000,170
13278,1,2,2,€ 230.000,65
13279,2,5,4,€ 420.000,120
13280,1,3,1,€ 349.000,80
13281,3,2,,€ 279.000,140
13282,2,3,T,€ 259.000,90
13283,2,5+,,€ 619.000,190
13284,1,2,T,€ 149.000,65
13285,1,5,R,€ 320.000,80
13286,3+,5+,,€ 550.000,300
13287,1,4,R,€ 157.000,111
13288,3+,5+,3,€ 2.500.000,370
13289,,,,€ 69.000,30
13290,1,2,R,€ 115.000,40
13291,2,3,2,€ 159.000,70
13292,1,2,4,€ 149.000,63
13293,1,3,A,€ 387.000,100
13294,2,5+,1,€ 695.000,180
13295,1,2,T,€ 95.000,85
13296,1,2,2,€ 270.000,67
13297,1,2,3,€ 235.000,67
13298,1,2,6,€ 245.000,67
13299,1,3,2,€ 185.000,75
13300,1,2,R,€ 149.000,50
13301,1,4,,€ 439.000,168
13302,1,2,A,€ 140.000,45
13303,2,5,3,€ 640.000,150
13304,2,4,7,€ 339.000,130
13305,,,,€ 158.976,350
13306,2,3,A,€ 329.000,90
13307,2,4,R,€ 450.000,135
13308,1,3,4,€ 130.000,100
13309,1,4,3,€ 299.000,100
13310,1,3,2,€ 220.000,80
13311,3,5+,,€ 495.000,315
13312,1,2,T,€ 380.000,65
13313,3,5,,€ 459.000,156
13314,,,,€ 216.000,317
13315,,,,€ 63.000,44
13316,,,,€ 55.680,52
13317,,,,€ 86.250,61
13318,,,,€ 60.480,132
13319,,,,€ 432.000,5470
13320,,,,€ 174.000,190
13321,,,,€ 23.330,18
13322,2,3,3,€ 470.000,98
13323,,1,,€ 43.000,18
13324,,,,€ 30.260,15
13325,1,2,1,€ 185.000,59
13326,2,4,3,€ 1.400.000,140
13327,1,2,5,€ 220.000,55
13328,2,4,1,€ 360.000,130
13329,1,2,T,€ 165.000,35
13330,,,,€ 44.368,30
13331,2,4,4,€ 520.000,130
13332,1,4,6,€ 449.000,90
13333,,,,€ 42.075,34
13334,1,3,4,€ 465.000,100
13335,1,2,1,€ 119.000,52
13336,,,,€ 607.365,125
13337,1,2,1,€ 225.000,75
13338,1,3,3,€ 189.000,127
13339,2,3,1,€ 219.000,91
13340,2,3,1,€ 360.000,75
13341,,,,€ 384.000,264
13342,2,3,1,€ 290.000,125
13343,,,,€ 795.000,205
13344,3+,5+,,€ 590.000,280
13345,1,3,2,€ 205.000,70
13346,2,2,2,€ 150.000,83
13347,1,2,T,€ 169.000,47
13348,2,3,2,€ 740.000,110
13349,2,3,5,€ 1.080.000,171
13350,3+,5+,,€ 1.400.000,500
13351,2,3,3,€ 187.000,85
13352,1,2,,€ 279.000,55
13353,2,5,R,€ 495.000,141
13354,3,5+,A,€ 610.000,250
13355,1,3,2,€ 340.000,90
13356,2,3,A,€ 352.000,73
13357,1,3,T,€ 229.000,90
13358,1,4,2,€ 750.000,119
13359,3+,5+,,€ 495.000,247
13360,1,2,3,€ 130.000,55
13361,2,3,,€ 299.000,120
13362,1,2,3,€ 165.000,70
13363,1,4,3,€ 240.000,85
13364,2,4,,€ 350.000,190
13365,2,5,8,€ 630.000,140
13366,2,3,3,€ 219.000,85
13367,1,2,3,€ 239.000,80
13368,1,5+,T,€ 195.000,160
13369,3,5,2,€ 780.000,170
13370,2,5+,1,€ 490.000,135
13371,1,3,,€ 110.000,60
13372,1,4,3,€ 280.000,90
13373,1,4,1,€ 259.000,101
13374,2,3,T,€ 340.000,116
13375,3,5,4,€ 640.000,186
13376,2,3,1,€ 375.000,100
13377,,,,€ 360.000,139
13378,1,3,2,€ 300.000,60
13379,3,4,2,€ 630.000,145
13380,1,3,4,€ 269.000,90
13381,1,2,2,€ 118.000,70
13382,1,4,3,€ 385.000,113
13383,3,4,,€ 399.000,150
13384,,,,€ 433.200,181
13385,2,5,T,€ 540.000,170
13386,1,2,6,€ 235.000,60
13387,1,2,T,€ 95.000,43
13388,2,3,4,€ 300.000,100
13389,3+,5+,2,€ 3.250.000,330
13390,2,3,1,€ 679.000,132
13391,1,2,1,€ 325.000,66
13392,2,4,3,€ 325.000,120
13393,,,,€ 85.050,37
13394,1,3,A,€ 105.000,61
13395,3+,5+,3,€ 1.450.000,170
13396,3+,5+,,€ 3.300.000,1.100
13397,2,3,3,€ 230.000,124
13398,2,3,2,€ 239.000,90
13399,2,3,A,€ 269.000,85
13400,1,3,T,€ 299.000,107
13401,1,4,,€ 260.000,120
13402,2,5,1,€ 625.000,145
13403,1,2,1,€ 129.000,58
13404,3+,5+,3,€ 795.000,177
13405,3+,5+,,€ 300.000,365
13406,1,3,2,€ 265.000,110
13407,1,2,R,€ 159.000,50
13408,2,5+,5,€ 439.000,190
13409,1,2,1,€ 275.000,64
13410,,,,€ 388.800,376
13411,1,2,2,€ 75.000,34
13412,2,3,1,€ 229.000,90
13413,1,2,T,€ 225.000,69
13414,1,2,R,€ 195.000,60
13415,2,3,,€ 580.000,272
13416,1,2,1,€ 219.000,67
13417,2,3,1,€ 235.000,98
13418,1,3,3,€ 209.000,80
13419,,,,€ 118.560,118
13420,2,4,5,€ 395.000,100
13421,1,3,T,€ 319.000,150
13422,2,4,3,€ 484.000,132
13423,1,2,4,€ 184.000,64
13424,2,3,1,€ 315.000,100
13425,2,5,4,€ 950.000,221
13426,2,5,2,€ 950.000,175
13427,,,,€ 70.080,60
13428,2,5,1,€ 275.000,125
13429,2,3,A,€ 329.000,90
13430,1,2,1,€ 120.000,50
13431,,,,€ 66.050,84
13432,2,5+,5,€ 970.000,164
13433,,,,€ 569.619,163
13434,1,3,1,€ 379.000,80
13435,1,2,T,€ 140.000,50
13436,1,2,1,€ 219.000,65
13437,3,5,T,€ 456.000,150
13438,3,5+,,€ 530.000,185
13439,3,5+,T,€ 1.390.000,145
13440,1,3,T,€ 340.000,75
13441,1,3,3,€ 280.000,88
13442,3+,5+,2,€ 2.390.000,210
13443,2,3,4,€ 1.165.000,110
13444,2,3,,€ 197.000,75
13445,1,2,T,€ 298.000,40
13446,1,4,3,€ 610.000,135
13447,,,,€ 67.662,115
13448,1,2,2,€ 119.000,60
13449,1,3,3,€ 319.000,116
13450,1,3,3,€ 400.000,100
13451,2,4,A,€ 270.000,110
13452,1,3,T,€ 339.000,112
13453,1,3,3,€ 310.000,110
13454,,,,€ 240.750,106
13455,1,3,A,€ 259.000,92
13456,2,4,,€ 280.000,100
13457,1,3,A,€ 239.000,80
13458,2,3,1,€ 255.000,90
13459,2,3,2,€ 339.000,80
13460,3+,5+,,€ 780.000,367
13461,2,3,1,€ 225.000,80
13462,2,4,2,€ 410.000,110
13463,2,4,2,€ 357.000,135
13464,1,3,4,€ 239.000,90
13465,2,5+,R,€ 679.000,180
13466,1,2,,€ 135.000,56
13467,1,4,2,€ 429.000,125
13468,2,5,,€ 453.000,180
13469,2,3,5,€ 440.000,107
13470,2,5,1,€ 750.000,169
13471,1,3,1,€ 189.000,61
13472,2,4,4,€ 560.000,140
13473,1,3,R,€ 199.000,63
13474,1,2,T,€ 270.000,70
13475,1,3,1,€ 119.000,115
13476,2,5,3,€ 790.000,133
13477,1,3,3,€ 198.000,85
13478,1,4,7,€ 320.000,100
13479,1,3,3,€ 149.000,55
13480,2,5+,2,€ 2.300.000,320
13481,1,2,T,€ 320.000,44
13482,3+,5,,€ 460.000,230
13483,3,4,2,€ 995.000,120
13484,2,3,1,€ 480.000,82
13485,1,2,R,€ 210.000,60
13486,2,4,4,€ 219.000,95
13487,2,3,1,€ 250.000,70
13488,3,5+,,€ 243.000,303
13489,2,3,6,€ 329.000,85
13490,2,4,2,€ 465.000,123
13491,1,3,3,€ 372.500,91
13492,1,3,3,€ 290.000,90
13493,2,4,1,€ 390.000,120
13494,2,2,,€ 155.000,75
13495,1,4,1,€ 279.000,120
13496,1,3,4,€ 199.000,79
13497,1,2,A,€ 125.000,40
13498,3,5,,€ 490.000,160
13499,2,4,A,€ 287.000,85
13500,1,3,2,€ 209.000,70
13501,2,4,1,€ 575.000,130
13502,1,2,6,€ 289.000,68
13503,,,,€ 228.750,138
13504,1,3,2,€ 175.000,74
13505,,,,€ 376.500,209
13506,3+,5+,,€ 12.000.000,2.200
13507,1,3,,€ 339.000,85
13508,1,4,T,€ 199.000,105
13509,2,4,T,€ 410.000,110
13510,2,3,4,€ 469.000,120
13511,2,4,3,€ 1.250.000,150
13512,3+,5+,,€ 535.000,220
13513,1,2,R,€ 230.000,45
13514,1,2,4,€ 420.000,65
13515,1,2,5,€ 169.000,67
13516,1,3,3,€ 150.000,85
13517,3,5,,€ 284.000,213
13518,2,5+,2,€ 570.000,117
13519,2,4,A,€ 245.000,90
13520,1,2,3,€ 139.000,60
13521,1,3,1,€ 262.000,95
13522,2,4,1,€ 189.000,105
13523,2,4,3,€ 390.000,123
13524,1,2,S,€ 49.000,45
13525,3,5+,,€ 450.000,220
13526,1,3,4,€ 239.000,90
13527,2,4,1,€ 199.000,100
13528,2,3,1,€ 270.000,100
13529,3+,5+,T,€ 325.000,330
13530,1,2,5,€ 260.000,56
13531,2,5,3,€ 550.000,140
13532,1,2,3,€ 190.000,65
13533,,,,€ 216.000,116
13534,1,3,2,€ 255.000,70
13535,1,2,T,€ 170.000,54
13536,1,2,2,€ 256.000,50
13537,1,5,2,€ 550.000,120
13538,2,4,1,€ 989.000,165
13539,2,5+,1,€ 495.000,145
13540,,,,€ 148.500,92
13541,1,2,2,€ 165.000,45
13542,1,3,4,€ 350.000,90
13543,1,3,T,€ 299.000,115
13544,1,2,1,€ 269.000,85
13545,3+,5,,€ 279.000,
13546,2,3,A,€ 279.000,85
13547,2,5+,1,€ 269.000,135
13548,1,2,A,€ 129.000,65
13549,1,5+,,€ 307.500,263
13550,2,3,R,€ 255.000,75
13551,2,3,1,€ 1.010.000,106
13552,2,3,6,€ 210.000,100
13553,1,2,1,€ 169.000,72
13554,2,5+,1,€ 780.000,170
13555,1,3,T,€ 225.000,95
13556,1,3,2,€ 229.000,85
13557,1,3,2,€ 258.000,85
13558,2,5,2,€ 980.000,100
13559,3,5+,,€ 545.000,250
13560,3,5,R,€ 620.000,180
13561,1,2,1,€ 280.000,60
13562,1,3,2,€ 269.000,90
13563,1,1,5,€ 155.000,45
13564,1,3,3,€ 210.000,70
13565,2,3,4,€ 325.000,81
13566,3+,5+,,€ 530.000,314
13567,2,4,1,€ 420.000,135
13568,3+,5,3,€ 728.000,157
13569,1,3,R,€ 238.000,40
13570,1,1,T,€ 145.000,45
13571,3,5,,€ 425.000,190
13572,2,4,4,€ 275.000,121
13573,1,3,1,€ 310.000,75
13574,2,3,2,€ 330.000,110
13575,1,2,3,€ 432.000,61
13576,1,2,R,€ 139.000,61
13577,1,2,1,€ 129.000,69
13578,1,2,1,€ 129.000,52
13579,1,3,2,€ 358.000,70
13580,2,4,,€ 290.000,125
13581,2,4,A,€ 315.000,120
13582,1,2,T,€ 135.000,55
13583,,,,€ 144.000,80
13584,3,5+,2,€ 2.150.000,180
13585,1,2,1,€ 105.000,55
13586,,,,€ 63.458,62
13587,2,3,4,€ 690.000,130
13588,,,,€ 159.425,115
13589,,,,€ 33.128,26
13590,1,3,1,€ 179.000,93
13591,2,4,A,€ 450.000,85
13592,2,5+,3,€ 1.100.000,200
13593,1,2,2,€ 245.000,50
13594,1,1,4,€ 260.000,78
13595,2,3,1,€ 323.000,86
13596,3+,5+,,€ 399.000,370
13597,2,4,,€ 269.000,108
13598,2,1,S,€ 139.500,140
13599,2,4,A,€ 651.500,176
13600,,,,€ 45.000,51
13601,,,,€ 78.000,73
13602,,,,€ 307.200,259
13603,,,,€ 457.500,205
13604,3,4,,€ 365.000,260
13605,2,5,3,€ 550.000,185
13606,,,,€ 288.750,103
13607,3+,5+,,€ 139.000,126
13608,1,3,1,€ 145.000,78
13609,1,3,5,€ 310.000,77
13610,2,5+,5,€ 990.000,170
13611,1,1,2,€ 129.000,45
13612,1,2,1,€ 75.000,40
13613,1,2,S,€ 215.000,60
13614,1,2,4,€ 149.000,65
13615,1,3,1,€ 290.000,65
13616,1,2,1,€ 199.000,75
13617,1,2,T,€ 199.000,65
13618,1,4,7,€ 520.000,130
13619,3,5+,,€ 820.000,250
13620,1,3,6,€ 295.000,85
13621,3,4,4,€ 419.000,160
13622,2,3,R,€ 399.000,91
13623,3+,5+,,€ 645.000,500
13624,2,4,3,€ 289.000,100
13625,2,3,6,€ 265.000,120
13626,1,2,T,€ 149.000,55
13627,,2,T,€ 104.000,50
13628,2,4,T,€ 369.000,120
13629,1,4,3,€ 99.000,80
13630,3,5+,,€ 215.000,170
13631,1,2,3,€ 255.000,86
13632,1,4,4,€ 349.000,110
13633,3,4,,€ 318.000,160
13634,3,3,A,€ 495.000,100
13635,2,5+,2,€ 750.000,128
13636,3,5+,1,€ 770.000,210
13637,2,4,1,€ 495.000,106
13638,2,3,1,€ 390.000,76
13639,1,2,2,€ 289.000,75
13640,3,4,,€ 275.000,160
13641,2,4,,€ 350.000,120
13642,1,2,4,€ 230.000,70
13643,2,5+,,€ 229.000,220
13644,2,3,2,€ 239.000,92
13645,2,4,1,€ 455.000,127
13646,,2,,€ 284.000,72
13647,2,2,,€ 245.000,77
13648,1,4,1,€ 519.000,107
13649,1,2,,€ 137.000,38
13650,2,4,2,€ 175.000,90
13651,3,5,,€ 465.000,199
13652,1,1,1,€ 100.000,40
13653,1,3,6,€ 319.000,90
13654,1,2,6,€ 270.000,80
13655,3,5,,€ 355.000,180
13656,1,2,4,€ 345.000,75
13657,3+,5+,,€ 750.000,410
13658,3,5+,,€ 360.000,250
13659,1,4,3,€ 139.000,109
13660,2,5+,,€ 625.000,176
13661,1,2,A,€ 230.000,66
13662,1,1,S,€ 29.000,60
13663,1,2,3,€ 100.000,50
13664,1,2,2,€ 139.000,75
13665,2,4,A,€ 525.000,100
13666,2,3,2,€ 249.000,68
13667,1,2,8,€ 220.000,70
13668,2,3,3,€ 237.000,75
13669,1,3,2,€ 599.000,140
13670,1,2,T,€ 360.000,70
13671,1,2,T,€ 360.000,70
13672,1,2,1,€ 148.000,49
13673,1,2,4,€ 179.000,53
13674,2,5,2,€ 675.000,120
13675,2,4,1,€ 330.000,108
13676,2,4,1,€ 395.000,145
13677,1,2,4,€ 146.000,37
13678,3,4,6,€ 329.000,84
13679,1,2,A,€ 290.000,81
13680,2,3,1,€ 202.000,67
13681,1,2,3,€ 163.000,49
13682,1,2,1,€ 189.000,50
13683,2,3,1,€ 198.000,95
13684,1,2,1,€ 125.000,65
13685,1,3,1,€ 129.000,67
13686,1,2,4,€ 188.500,48
13687,3,5,T,€ 1.150.000,176
13688,1,3,1,€ 260.000,75
13689,1,2,T,€ 194.000,54
13690,2,3,T,€ 160.000,78
13691,3,5,,€ 252.000,202
13692,1,2,1,€ 99.000,47
13693,2,4,2,€ 199.000,119
13694,2,5,6,€ 378.000,140
13695,2,3,1,€ 299.000,86
13696,1,2,3,€ 150.000,68
13697,2,3,4,€ 390.000,115
13698,1,3,1,€ 191.100,75
13699,2,3,1,€ 159.000,73
13700,1,4,T,€ 196.000,143
13701,2,4,1,€ 258.100,94
13702,3+,5+,,€ 1.480.000,551
13703,1,2,T,€ 120.000,76
13704,2,5+,R,€ 750.000,120
13705,1,2,T,€ 187.000,62
13706,2,3,3,€ 175.000,75
13707,3,5,,€ 290.000,280
13708,2,3,T,€ 238.500,90
13709,2,4,4,€ 234.000,97
13710,1,2,1,€ 127.000,50
13711,1,3,1,€ 277.000,75
13712,1,3,6,€ 145.000,80
13713,2,5,,€ 530.000,130
13714,2,4,,€ 219.999,80
13715,2,3,2,€ 290.500,79
13716,1,2,2,€ 202.400,72
13717,1,3,3,€ 279.500,74
13718,1,3,T,€ 255.000,81
13719,2,4,4,€ 232.500,100
13720,2,4,,€ 229.000,82
13721,3,5,,€ 328.000,118
13722,1,2,R,€ 175.000,50
13723,2,5,,€ 699.000,250
13724,2,3,R,€ 270.000,103
13725,1,2,S,€ 197.000,66
13726,1,2,T,€ 169.800,69
13727,3,5,,€ 289.000,200
13728,2,4,1,€ 329.500,94
13729,1,4,3,€ 279.600,102
13730,1,3,T,€ 65.000,61
13731,1,2,3,€ 169.000,55
13732,1,2,1,€ 187.000,55
13733,2,3,1,€ 159.000,85
13734,3+,5+,,€ 3.800.000,800
13735,2,4,4,€ 279.000,111
13736,1,3,T,€ 203.400,86
13737,1,3,2,€ 259.000,82
13738,1,2,4,€ 192.000,75
13739,1,3,2,€ 179.000,75
13740,2,3,1,€ 284.500,82
13741,1,2,1,€ 139.000,50
13742,1,3,2,€ 279.000,80
13743,2,3,2,€ 294.000,81
13744,1,2,4,€ 215.000,68
13745,1,3,2,€ 199.000,104
13746,2,3,T,€ 249.000,86
13747,1,3,A,€ 65.000,70
13748,1,3,1,€ 165.000,83
13749,,1,,€ 22.000,15
13750,1,3,1,€ 365.000,100
13751,1,3,R,€ 219.000,77
13752,2,3,T,€ 139.900,75
13753,1,2,T,€ 55.500,45
13754,1,2,S,€ 190.000,58
13755,3,5,1,€ 772.000,171
13756,1,2,1,€ 165.000,55
13757,,,,€ 124.200,107
13758,1,2,5,€ 139.000,67
13759,1,4,A,€ 155.000,80
13760,,,,€ 85.000,17
13761,,,,€ 85.000,17
13762,,,,€ 25.000,13
13763,1,2,4,€ 189.000,69
13764,2,3,8,€ 215.000,80
13765,1,3,1,€ 180.000,65
13766,2,3,2,€ 320.000,90
13767,,4,1,€ 335.000,125
13768,2,4,2,€ 495.000,126
13769,1,2,A,€ 169.000,70
13770,2,3,2,€ 130.000,75
13771,1,2,1,€ 310.000,45
13772,1,3,,€ 368.000,65
13773,2,4,2,€ 190.000,80
13774,2,4,2,€ 239.000,90
13775,2,5+,T,€ 850.000,150
13776,1,3,1,€ 290.000,84
13777,2,5,1,€ 240.000,125
13778,1,2,T,€ 130.000,40
13779,2,5,3,€ 450.000,130
13780,2,4,2,€ 275.000,130
13781,1,2,3,€ 179.000,73
13782,2,5,2,€ 490.000,130
13783,2,5,4,€ 315.000,135
13784,1,3,3,€ 310.000,81
13785,1,2,3,€ 99.000,45
13786,3+,5+,,€ 500.000,280
13787,2,4,R,€ 430.000,150
13788,1,3,1,€ 249.000,111
13789,2,3,1,€ 230.000,85
13790,1,2,2,€ 180.000,65
13791,2,3,3,€ 399.000,138
13792,1,3,R,€ 135.000,65
13793,2,3,2,€ 259.000,95
13794,2,3,3,€ 416.500,97
13795,1,3,2,€ 115.000,79
13796,2,5,1,€ 1.060.000,150
13797,2,3,A,€ 369.000,94
13798,,,,€ 298.500,83
13799,,,,€ 78.000,59
13800,1,3,T,€ 270.000,80
13801,1,1,T,€ 185.000,100
13802,2,5+,3,€ 649.000,170
13803,3,5,4,€ 890.000,141
13804,2,5+,T,€ 1.000.000,160
13805,1,3,1,€ 375.000,105
13806,2,5+,3,€ 430.000,162
13807,1,2,2,€ 119.000,50
13808,1,2,4,€ 335.000,70
13809,1,3,A,€ 185.000,100
13810,,3,1,€ 170.000,65
13811,1,4,1,€ 299.000,110
13812,1,5+,1,€ 300.000,220
13813,,,,€ 93.600,83
13814,1,1,T,€ 90.000,25
13815,2,4,,€ 239.000,126
13816,1,2,S,€ 229.000,55
13817,2,3,T,€ 449.000,105
13818,2,4,,€ 275.000,90
13819,1,2,2,€ 199.000,70
13820,1,1,S,€ 187.000,45
13821,1,1,S,€ 89.000,25
13822,2,3,1,€ 456.000,90
13823,1,3,2,€ 165.000,60
13824,1,3,3,€ 620.000,110
13825,2,3,2,€ 280.000,90
13826,2,5+,2,€ 1.500.000,336
13827,2,3,2,€ 149.000,74
13828,1,2,T,€ 215.000,65
13829,2,4,2,€ 190.000,80
13830,1,1,S,€ 230.000,40
13831,2,5,2,€ 780.000,135
13832,1,4,2,€ 255.000,95
13833,,,,€ 54.525,21
13834,1,2,1,€ 340.000,70
13835,1,5+,A,€ 300.000,220
13836,2,3,R,€ 330.000,80
13837,1,3,2,€ 165.000,60
13838,3+,5+,,€ 480.000,
13839,1,2,3,€ 109.000,61
13840,1,3,4,€ 340.000,90
13841,1,3,3,€ 135.000,90
13842,1,3,1,€ 165.000,120
13843,1,2,6,€ 325.000,55
13844,1,3,A,€ 299.000,85
13845,1,5+,1,€ 890.000,150
13846,1,4,1,€ 490.000,110
13847,2,3,1,€ 265.000,120
13848,3+,5+,,€ 690.000,253
13849,2,5+,1,€ 230.000,130
13850,1,4,T,€ 165.000,80
13851,3+,4,T,€ 269.900,105
13852,1,3,4,€ 150.000,70
13853,1,3,4,€ 249.000,65
13854,1,2,R,€ 299.000,58
13855,3+,5,,€ 299.000,160
13856,1,2,3,€ 750.000,85
13857,3,4,1,€ 680.000,122
13858,2,3,2,€ 319.000,90
13859,1,3,4,€ 545.000,90
13860,2,4,6,€ 335.000,100
13861,2,5+,4,€ 1.500.000,260
13862,2,3,,€ 320.000,120
13863,1,3,R,€ 125.000,60
13864,1,3,2,€ 165.000,60
13865,2,3,1,€ 175.000,70
13866,1,3,1,€ 179.000,76
13867,2,4,6,€ 609.000,135
13868,2,3,5,€ 389.000,110
13869,1,2,A,€ 112.000,64
13870,1,3,1,€ 270.000,90
13871,3,5+,5,€ 1.450.000,240
13872,,,,€ 225.000,123
13873,,,,€ 50.250,59
