,bagni,locali,piano,prezzo(€),superficie
371,3,5+,2,€ 1.500.000,299
372,3,5+,4,€ 970.000,186
373,3,5+,1,€ 4.050.000,750
374,1,2,2,€ 260.000,68
375,3,4,1,€ 569.000,150
376,1,2,1,€ 155.000,50
377,3+,5+,3,€ 1.490.000,250
378,2,3,3,€ 680.000,90
379,2,4,,€ 229.000,113
380,2,3,3,€ 1.420.000,170
381,2,4,,€ 220.000,165
382,3,5+,4,€ 1.390.000,281
383,1,2,4,€ 222.000,57
384,3+,5,2,€ 1.250.000,290
385,3+,5+,4,€ 2.450.000,378
386,2,5+,3,€ 599.000,150
387,3+,5,2,€ 1.590.000,225
388,3+,5+,3,€ 1.120.000,241
389,2,2,T,€ 390.000,65
390,3,5+,4,€ 730.000,165
391,3,5,1,€ 1.320.000,223
392,3,5+,A,€ 870.000,190
393,1,2,R,€ 189.000,55
394,2,5,2,€ 549.000,150
395,1,3,2,€ 260.000,100
396,2,5,3,€ 740.000,141
397,1,1,2,€ 85.000,30
398,1,3,1,€ 199.000,127
399,2,3,1,€ 285.000,80
400,3+,5+,,€ 545.000,350
401,3,5+,,€ 459.000,250
402,1,2,T,€ 149.000,58
403,3,5,,€ 515.000,218
404,1,4,R,€ 185.000,90
405,2,5+,,€ 295.000,160
406,1,2,T,€ 112.000,84
407,3+,5+,,€ 680.000,320
408,3+,5+,,€ 730.000,330
409,2,3,,€ 245.000,100
410,3,5,,€ 339.000,180
411,3+,5,,€ 299.000,170
412,1,3,1,€ 168.000,65
413,2,4,R,€ 229.000,110
414,1,3,1,€ 735.000,115
415,1,2,R,€ 239.000,70
416,1,2,4,€ 218.000,60
417,2,4,,€ 380.000,141
418,2,4,1,€ 335.000,110
419,1,3,3,€ 690.000,104
420,1,2,8,€ 235.000,70
421,2,4,5,€ 350.000,103
422,1,3,1,€ 169.000,75
423,2,4,A,€ 525.000,100
424,2,3,6,€ 345.000,70
425,3+,5+,,,680
426,1,2,3,€ 178.000,69
427,3+,5+,2,€ 1.650.000,282
428,3,4,2,€ 450.000,145
429,3,5+,,,320
430,3,5+,2,€ 1.150.000,220
431,2,3,3,€ 399.000,107
432,1,2,T,€ 240.000,54
433,2,4,7,€ 565.000,120
434,2,4,A,€ 349.000,95
435,1,3,A,€ 260.000,65
436,1,4,R,€ 219.000,120
437,1,3,4,€ 325.000,80
438,3,5+,T,€ 975.000,198
439,2,3,5,€ 215.000,85
440,3,5+,,€ 550.000,186
441,2,5,2,€ 630.000,144
442,2,4,5,€ 695.000,163
443,2,4,3,€ 390.000,130
444,1,3,3,€ 335.000,106
445,1,2,S,€ 205.000,66
446,2,4,3,€ 398.000,137
447,2,5,9,€ 635.000,165
448,2,4,2,€ 570.000,125
449,2,3,2,€ 550.000,116
450,1,4,3,€ 285.000,100
451,2,3,1,€ 530.000,123
452,1,1,2,€ 148.000,33
453,1,4,2,€ 465.000,140
454,2,3,3,€ 495.000,79
455,1,3,2,€ 397.000,117
456,3,5+,3,€ 1.300.000,303
457,1,2,R,€ 335.000,58
458,1,1,2,€ 175.000,59
459,2,4,T,€ 495.000,116
460,3,5,4,€ 1.250.000,200
461,2,5,2,€ 498.000,150
462,3,5+,4,€ 778.000,217
463,2,5+,4,€ 1.250.000,185
464,,3,2,€ 163.000,65
465,2,3,4,€ 198.000,80
466,2,4,7,€ 295.000,145
467,1,3,1,€ 260.000,88
468,1,3,T,€ 335.000,109
469,1,2,5,€ 189.000,50
470,3+,5+,,€ 2.200.000,450
471,1,2,1,€ 180.000,65
472,2,4,2,€ 460.000,135
473,2,5,2,€ 550.000,145
474,2,5+,2,€ 650.000,130
475,2,4,A,€ 399.000,130
476,2,5+,1,€ 699.000,160
477,3+,5+,3,,250
478,1,2,1,€ 238.000,60
479,1,2,T,€ 155.000,63
480,1,3,A,€ 279.000,73
481,2,4,6,€ 460.000,110
482,1,2,2,€ 425.000,65
483,2,5,2,€ 480.000,120
484,3+,5+,4,,327
485,3,5+,1,€ 839.000,200
486,1,2,1,€ 300.000,56
487,3,5+,2,€ 790.000,250
488,2,3,1,€ 270.000,90
489,2,3,1,€ 420.000,134
490,2,3,A,€ 198.000,93
491,2,2,T,€ 410.000,98
492,1,1,1,€ 195.000,38
493,3+,5+,,€ 1.490.000,843
494,1,2,A,€ 109.000,49
495,1,2,1,€ 179.000,71
496,2,3,1,€ 245.000,79
497,1,2,1,€ 148.000,53
498,2,3,2,€ 287.000,80
499,1,2,4,€ 430.000,65
500,1,2,1,€ 133.000,42
